graph,max_bag_size
6s10_gaifman,50
6s12_gaifman,49
AProVE07-03_gaifman,105
BrinkmannGraph,9
CameronGraph,175
ClebschGraph,10
dimacs_fpsol2.i.1,51
dimacs_fpsol2.i.3-pp,29
dimacs_games120,26
dimacs_inithx.i.1,50
dimacs_inithx.i.2-pp,29
dimacs_inithx.i.2,29
dimacs_le450_15b-pp,226
dimacs_le450_15b,226
dimacs_le450_15c,295
dimacs_le450_25a-pp,186
dimacs_le450_25a,186
dimacs_le450_25d,285
dimacs_le450_5d,254
dimacs_miles250,9
dimacs_miles750,28
dimacs_mulsol.i.2,30
dimacs_mulsol.i.3,30
dimacs_mulsol.i.5-pp,30
dimacs_myciel5,13
dimacs_queen12_12,67
dimacs_queen13_13,66
dimacs_queen15_15,98
dimacs_queen16_16,125
dimacs_queen6_6,20
dimacs_queen7_7,30
dimacs_queen8_12,65
dimacs_queen9_9,57
dimacs_school1-pp,166
dimacs_zeroin.i.2,25
dimacs_zeroin.i.3,25
DorogovtsevGoltsevMendesGraph,3
DyckGraph,9
FoldedCubeGraph_7,32
FolkmanGraph,7
FriendshipGraph_10,3
GoethalsSeidelGraph_2_3,12
GoldnerHararyGraph,4
GossetGraph,44
GrayGraph,11
GrotzschGraph,6
HeawoodGraph,6
HigmanSimsGraph,76
HoffmanGraph,8
HoffmanSingletonGraph,28
HyperStarGraph_10_2,9
IcosahedralGraph,7
KittellGraph,9
LjubljanaGraph,23
MarkstroemGraph,5
MeredithGraph,8
NauruGraph,7
OrthogonalArrayBlockGraph_4_3,9
PappusGraph,7
PoussinGraph,7
RandomBarabasiAlbert_100_2,13
RandomBipartite_25_50_1,10
RandomBoundedToleranceGraph_60,31
RandomGNM_100_100,7
RandomGNM_250_1000,104
RandomGNM_500_500,22
RandomNewmanWattsStrogatz_100_5_3,23
RandomTriangulation_800,51
RingedTree_6,11
RKT_300_90_30_0,28
RKT_500_80_30_0,30
StarGraph_100,2
SylvesterGraph,18
SymplecticDualPolarGraph_4_4,64
SzekeresSnarkGraph,8
TaylorTwographDescendantSRG_3,18
Toroidal6RegularGrid2dGraph_4_6,11
Tutte12Cage,29
